UniProt,Superfamily,Group,Family,Subfamily,Protein,WebLogo,Members
Q5VT25,PK,AGC,DMPK,GEK,MRCKa (CDC42BPA),PK_AGC_DMPK_GEK_MRCKa.png,MRCKa;PKA
Q9Y5S2,PK,AGC,DMPK,GEK,MRCKb (CDC42BPB),PK_AGC_DMPK_GEK_MRCKb.png,MRCKb;PKA
,PK,AGC,DMPK,ROCK,,PK_AGC_DMPK_ROCK.png,PKA;ROCK1;ROCK2
Q13464,PK,AGC,DMPK,ROCK,ROCK1,PK_AGC_DMPK_ROCK_ROCK1.png,ROCK1;PKA
O75116,PK,AGC,DMPK,ROCK,ROCK2,PK_AGC_DMPK_ROCK_ROCK2.png,ROCK2;PKA
O14578,PK,AGC,DMPK,,CRIK (CIT),PK_AGC_DMPK__CRIK.png,CRIK;PKA
,PK,AGC,GRK,,,PK_AGC_GRK.png,PKA;BARK1;BARK2;GPRK4;GPRK5;GPRK6;GPRK7;RHOK
,PK,AGC,GRK,BARK,,PK_AGC_GRK_BARK.png,PKA;BARK1;BARK2
P25098,PK,AGC,GRK,BARK,BARK1 (GRK2),PK_AGC_GRK_BARK_BARK1.png,BARK1;PKA
P35626,PK,AGC,GRK,BARK,BARK2 (GRK3),PK_AGC_GRK_BARK_BARK2.png,BARK2;PKA
,PK,AGC,GRK,GRK,,PK_AGC_GRK_GRK.png,PKA;GPRK4;GPRK5;GPRK6;GPRK7;RHOK
P32298,PK,AGC,GRK,GRK,GPRK4 (GRK4),PK_AGC_GRK_GRK_GPRK4.png,GPRK4;PKA
P34947,PK,AGC,GRK,GRK,GPRK5 (GRK5),PK_AGC_GRK_GRK_GPRK5.png,GPRK5;PKA
P43250,PK,AGC,GRK,GRK,GPRK6 (GRK6),PK_AGC_GRK_GRK_GPRK6.png,GPRK6;PKA
Q8WTQ7,PK,AGC,GRK,GRK,GPRK7 (GRK7),PK_AGC_GRK_GRK_GPRK7.png,GPRK7;PKA
Q15835,PK,AGC,GRK,GRK,RHOK (GRK1),PK_AGC_GRK_GRK_RHOK.png,RHOK;PKA
,PK,AGC,MAST,,,PK_AGC_MAST.png,PKA;MAST1;MAST2;MAST3;MAST4;MASTL
Q9Y2H9,PK,AGC,MAST,,MAST1,PK_AGC_MAST__MAST1.png,MAST1;PKA
Q6P0Q8,PK,AGC,MAST,,MAST2,PK_AGC_MAST__MAST2.png,MAST2;PKA
O60307,PK,AGC,MAST,,MAST3,PK_AGC_MAST__MAST3.png,MAST3;PKA
O15021,PK,AGC,MAST,,MAST4,PK_AGC_MAST__MAST4.png,MAST4;PKA
Q96GX5,PK,AGC,MAST,,MASTL,PK_AGC_MAST__MASTL.png,MASTL;PKA
,PK,AGC,NDR,,,PK_AGC_NDR.png,PKA;LATS1;LATS2;NDR1;NDR2
O95835,PK,AGC,NDR,,LATS1,PK_AGC_NDR__LATS1.png,LATS1;PKA
Q9NRM7,PK,AGC,NDR,,LATS2,PK_AGC_NDR__LATS2.png,LATS2;PKA
Q15208,PK,AGC,NDR,,NDR1 (STK38),PK_AGC_NDR__NDR1.png,NDR1;PKA
Q9Y2H1,PK,AGC,NDR,,NDR2 (STK38L),PK_AGC_NDR__NDR2.png,NDR2;PKA
,PK,AGC,PDK1,,,PK_AGC_PDK1.png,PKA;PDK1
O15530,PK,AGC,PDK1,,PDK1 (PDPK1),PK_AGC_PDK1__PDK1.png,PDK1;PKA
,PK,AGC,PKA,,,PK_AGC_PKA.png,PKA;PKACa;PKACb;PKACg;PRKX;PRKY
P17612,PK,AGC,PKA,,PKACa (PRKACA),PK_AGC_PKA__PKACa.png,PKACa;PKA
P22694,PK,AGC,PKA,,PKACb (PRKACB),PK_AGC_PKA__PKACb.png,PKACb;PKA
P22612,PK,AGC,PKA,,PKACg (PRKACG),PK_AGC_PKA__PKACg.png,PKACg;PKA
P51817,PK,AGC,PKA,,PRKX,PK_AGC_PKA__PRKX.png,PRKX;PKA
O43930,PK,AGC,PKA,,PRKY,PK_AGC_PKA__PRKY.png,PRKY;PKA
,PK,AGC,PKC,,,PK_AGC_PKC.png,PKA;PKCa;PKCb;PKCd;PKCe;PKCg;PKCh;PKCi;PKCt;PKCz
,PK,AGC,PKC,PKCa,,PK_AGC_PKC_PKCa.png,PKA;PKCa;PKCb;PKCg
P17252,PK,AGC,PKC,PKCa,PKCa (PRKCA),PK_AGC_PKC_PKCa_PKCa.png,PKCa;PKA
P05771,PK,AGC,PKC,PKCa,PKCb (PRKCB),PK_AGC_PKC_PKCa_PKCb.png,PKCb;PKA
P05129,PK,AGC,PKC,PKCa,PKCg (PRKCG),PK_AGC_PKC_PKCa_PKCg.png,PKCg;PKA
,PK,AGC,PKC,PKCd,,PK_AGC_PKC_PKCd.png,PKA;PKCd;PKCt
Q05655,PK,AGC,PKC,PKCd,PKCd (PRKCD),PK_AGC_PKC_PKCd_PKCd.png,PKCd;PKA
Q04759,PK,AGC,PKC,PKCd,PKCt (PRKCQ),PK_AGC_PKC_PKCd_PKCt.png,PKCt;PKA
,PK,AGC,PKC,PKCh,,PK_AGC_PKC_PKCh.png,PKA;PKCe;PKCh
Q02156,PK,AGC,PKC,PKCh,PKCe (PRKCE),PK_AGC_PKC_PKCh_PKCe.png,PKCe;PKA
P24723,PK,AGC,PKC,PKCh,PKCh (PRKCH),PK_AGC_PKC_PKCh_PKCh.png,PKCh;PKA
,PK,AGC,PKC,PKCi,,PK_AGC_PKC_PKCi.png,PKA;PKCi;PKCz
P41743,PK,AGC,PKC,PKCi,PKCi (PRKCI),PK_AGC_PKC_PKCi_PKCi.png,PKCi;PKA
Q05513,PK,AGC,PKC,PKCi,PKCz (PRKCZ),PK_AGC_PKC_PKCi_PKCz.png,PKCz;PKA
,PK,AGC,PKG,,,PK_AGC_PKG.png,PKA;PKG1;PKG2
Q13976,PK,AGC,PKG,,PKG1 (PRKG1),PK_AGC_PKG__PKG1.png,PKG1;PKA
Q13237,PK,AGC,PKG,,PKG2 (PRKG2),PK_AGC_PKG__PKG2.png,PKG2;PKA
,PK,AGC,PKN,,,PK_AGC_PKN.png,PKA;PKN1;PKN2;PKN3
Q16512,PK,AGC,PKN,,PKN1,PK_AGC_PKN__PKN1.png,PKN1;PKA
Q16513,PK,AGC,PKN,,PKN2,PK_AGC_PKN__PKN2.png,PKN2;PKA
Q6P5Z2,PK,AGC,PKN,,PKN3,PK_AGC_PKN__PKN3.png,PKN3;PKA
,PK,AGC,RSK,,,PK_AGC_RSK.png,PKA;MSK1;MSK2;RSK1;RSK2;RSK3;RSK4;p70S6K;p70S6Kb
,PK,AGC,RSK,MSK,,PK_AGC_RSK_MSK.png,PKA;MSK1;MSK2
O75582,PK,AGC,RSK,MSK,MSK1 (RPS6KA5),PK_AGC_RSK_MSK_MSK1.png,MSK1;PKA
O75676,PK,AGC,RSK,MSK,MSK2 (RPS6KA4),PK_AGC_RSK_MSK_MSK2.png,MSK2;PKA
,PK,AGC,RSK,RSKp70,,PK_AGC_RSK_RSKp70.png,PKA;p70S6K;p70S6Kb
P23443,PK,AGC,RSK,RSKp70,p70S6K (RPS6KB1),PK_AGC_RSK_RSKp70_p70S6K.png,p70S6K;PKA
Q9UBS0,PK,AGC,RSK,RSKp70,p70S6Kb (RPS6KB2),PK_AGC_RSK_RSKp70_p70S6Kb.png,p70S6Kb;PKA
,PK,AGC,RSK,RSKp90,,PK_AGC_RSK_RSKp90.png,PKA;RSK1;RSK2;RSK3;RSK4
Q15418,PK,AGC,RSK,RSKp90,RSK1 (RPS6KA1),PK_AGC_RSK_RSKp90_RSK1.png,RSK1;PKA
P51812,PK,AGC,RSK,RSKp90,RSK2 (RPS6KA3),PK_AGC_RSK_RSKp90_RSK2.png,RSK2;PKA
Q15349,PK,AGC,RSK,RSKp90,RSK3 (RPS6KA2),PK_AGC_RSK_RSKp90_RSK3.png,RSK3;PKA
Q9UK32,PK,AGC,RSK,RSKp90,RSK4 (RPS6KA6),PK_AGC_RSK_RSKp90_RSK4.png,RSK4;PKA
,PK,AGC,RSKL,,,PK_AGC_RSKL.png,PKA;RSKL1;RSKL2
Q96S38,PK,AGC,RSKL,,RSKL1 (RPS6KC1),PK_AGC_RSKL__RSKL1.png,RSKL1;PKA
Q9Y6S9,PK,AGC,RSKL,,RSKL2 (RPS6KL1),PK_AGC_RSKL__RSKL2.png,RSKL2;PKA
,PK,AGC,RSKR,,,PK_AGC_RSKR.png,PKA;SgK494
Q96LW2,PK,AGC,RSKR,,SgK494 (SGK494),PK_AGC_RSKR__SgK494.png,SgK494;PKA
,PK,AGC,SGK,,,PK_AGC_SGK.png,PKA;SGK1;SGK2;SGK3
O00141,PK,AGC,SGK,,SGK1,PK_AGC_SGK__SGK1.png,SGK1;PKA
Q9HBY8,PK,AGC,SGK,,SGK2,PK_AGC_SGK__SGK2.png,SGK2;PKA
Q96BR1,PK,AGC,SGK,,SGK3,PK_AGC_SGK__SGK3.png,SGK3;PKA
,PK,AGC,YANK,,,PK_AGC_YANK.png,PKA;YANK1;YANK2;YANK3
Q8WU08,PK,AGC,YANK,,YANK1 (STK32A),PK_AGC_YANK__YANK1.png,YANK1;PKA
Q9NY57,PK,AGC,YANK,,YANK2 (STK32B),PK_AGC_YANK__YANK2.png,YANK2;PKA
Q86UX6,PK,AGC,YANK,,YANK3 (STK32C),PK_AGC_YANK__YANK3.png,YANK3;PKA
,PK,CAMK,,,,PK_CAMK.png,PKA;AMPKa1;AMPKa2;BRSK1;BRSK2;CASK;CHK1;CHK2;CaMK1a;CaMK1b;CaMK1d;CaMK1g;CaMK2a;CaMK2b;CaMK2d;CaMK2g;CaMK4;DAPK1;DAPK2;DAPK3;DCAMKL1;DCAMKL2;DCAMKL3;DRAK1;DRAK2;HUNK;LKB1;MAPKAPK2;MAPKAPK3;MAPKAPK5;MARK1;MARK2;MARK3;MARK4;MELK;MNK1;MNK2;MSK1_b;MSK2_b;NIM1;NuaK1;NuaK2;Obscn;Obscn_b;PASK;PHKg1;PHKg2;PIM1;PIM2;PIM3;PKD1;PKD2;PKD3;PSKH1;PSKH2;QIK;QSK;RSK1_b;RSK2_b;RSK3_b;RSK4_b;SIK;SNRK;SPEG;SPEG_b;SSTK;STK33;SgK085;SgK495;TSSK1;TSSK2;TSSK3;TSSK4;TTN;Trad;Trb1;Trb2;Trb3;Trio;VACAMKL;caMLCK;skMLCK;smMLCK
,PK,CAMK,CAMK1,,,PK_CAMK_CAMK1.png,PKA;CaMK1a;CaMK1b;CaMK1d;CaMK1g;CaMK4
Q14012,PK,CAMK,CAMK1,,CaMK1a (CAMK1),PK_CAMK_CAMK1__CaMK1a.png,CaMK1a;PKA
Q6P2M8,PK,CAMK,CAMK1,,CaMK1b (PNCK),PK_CAMK_CAMK1__CaMK1b.png,CaMK1b;PKA
Q8IU85,PK,CAMK,CAMK1,,CaMK1d (CAMK1D),PK_CAMK_CAMK1__CaMK1d.png,CaMK1d;PKA
Q96NX5,PK,CAMK,CAMK1,,CaMK1g (CAMK1G),PK_CAMK_CAMK1__CaMK1g.png,CaMK1g;PKA
Q16566,PK,CAMK,CAMK1,,CaMK4 (CAMK4),PK_CAMK_CAMK1__CaMK4.png,CaMK4;PKA
,PK,CAMK,CAMK2,,,PK_CAMK_CAMK2.png,PKA;CaMK2a;CaMK2b;CaMK2d;CaMK2g
Q9UQM7,PK,CAMK,CAMK2,,CaMK2a (CAMK2A),PK_CAMK_CAMK2__CaMK2a.png,CaMK2a;PKA
Q13554,PK,CAMK,CAMK2,,CaMK2b (CAMK2B),PK_CAMK_CAMK2__CaMK2b.png,CaMK2b;PKA
Q13557,PK,CAMK,CAMK2,,CaMK2d (CAMK2D),PK_CAMK_CAMK2__CaMK2d.png,CaMK2d;PKA
Q13555,PK,CAMK,CAMK2,,CaMK2g (CAMK2G),PK_CAMK_CAMK2__CaMK2g.png,CaMK2g;PKA
,PK,CAMK,CAMKL,,,PK_CAMK_CAMKL.png,PKA;AMPKa1;AMPKa2;BRSK1;BRSK2;CHK1;HUNK;LKB1;MARK1;MARK2;MARK3;MARK4;MELK;NIM1;NuaK1;NuaK2;PASK;QIK;QSK;SIK;SNRK
,PK,CAMK,CAMKL,AMPK,,PK_CAMK_CAMKL_AMPK.png,PKA;AMPKa1;AMPKa2
Q13131,PK,CAMK,CAMKL,AMPK,AMPKa1 (PRKAA1),PK_CAMK_CAMKL_AMPK_AMPKa1.png,AMPKa1;PKA
P54646,PK,CAMK,CAMKL,AMPK,AMPKa2 (PRKAA2),PK_CAMK_CAMKL_AMPK_AMPKa2.png,AMPKa2;PKA
,PK,CAMK,CAMKL,BRSK,,PK_CAMK_CAMKL_BRSK.png,PKA;BRSK1;BRSK2
Q8TDC3,PK,CAMK,CAMKL,BRSK,BRSK1,PK_CAMK_CAMKL_BRSK_BRSK1.png,BRSK1;PKA
Q8IWQ3,PK,CAMK,CAMKL,BRSK,BRSK2,PK_CAMK_CAMKL_BRSK_BRSK2.png,BRSK2;PKA
,PK,CAMK,CAMKL,CHK1,,PK_CAMK_CAMKL_CHK1.png,PKA;CHK1
O14757,PK,CAMK,CAMKL,CHK1,CHK1 (CHEK1),PK_CAMK_CAMKL_CHK1_CHK1.png,CHK1;PKA
,PK,CAMK,CAMKL,HUNK,,PK_CAMK_CAMKL_HUNK.png,PKA;HUNK
P57058,PK,CAMK,CAMKL,HUNK,HUNK,PK_CAMK_CAMKL_HUNK_HUNK.png,HUNK;PKA
,PK,CAMK,CAMKL,LKB,,PK_CAMK_CAMKL_LKB.png,PKA;LKB1
Q15831,PK,CAMK,CAMKL,LKB,LKB1 (STK11),PK_CAMK_CAMKL_LKB_LKB1.png,LKB1;PKA
,PK,CAMK,CAMKL,MARK,,PK_CAMK_CAMKL_MARK.png,PKA;MARK1;MARK2;MARK3;MARK4
Q9P0L2,PK,CAMK,CAMKL,MARK,MARK1,PK_CAMK_CAMKL_MARK_MARK1.png,MARK1;PKA
Q7KZI7,PK,CAMK,CAMKL,MARK,MARK2,PK_CAMK_CAMKL_MARK_MARK2.png,MARK2;PKA
P27448,PK,CAMK,CAMKL,MARK,MARK3,PK_CAMK_CAMKL_MARK_MARK3.png,MARK3;PKA
Q96L34,PK,CAMK,CAMKL,MARK,MARK4,PK_CAMK_CAMKL_MARK_MARK4.png,MARK4;PKA
,PK,CAMK,CAMKL,MELK,,PK_CAMK_CAMKL_MELK.png,PKA;MELK
Q14680,PK,CAMK,CAMKL,MELK,MELK,PK_CAMK_CAMKL_MELK_MELK.png,MELK;PKA
,PK,CAMK,CAMKL,NIM1,,PK_CAMK_CAMKL_NIM1.png,PKA;NIM1
Q8IY84,PK,CAMK,CAMKL,NIM1,NIM1 (NIM1K),PK_CAMK_CAMKL_NIM1_NIM1.png,NIM1;PKA
,PK,CAMK,CAMKL,NuaK,,PK_CAMK_CAMKL_NuaK.png,PKA;NuaK1;NuaK2
O60285,PK,CAMK,CAMKL,NuaK,NuaK1 (NUAK1),PK_CAMK_CAMKL_NuaK_NuaK1.png,NuaK1;PKA
Q9H093,PK,CAMK,CAMKL,NuaK,NuaK2 (NUAK2),PK_CAMK_CAMKL_NuaK_NuaK2.png,NuaK2;PKA
,PK,CAMK,CAMKL,PASK,,PK_CAMK_CAMKL_PASK.png,PKA;PASK
Q96RG2,PK,CAMK,CAMKL,PASK,PASK,PK_CAMK_CAMKL_PASK_PASK.png,PASK;PKA
,PK,CAMK,CAMKL,QIK,,PK_CAMK_CAMKL_QIK.png,PKA;QIK;QSK;SIK
Q9H0K1,PK,CAMK,CAMKL,QIK,QIK (SIK2),PK_CAMK_CAMKL_QIK_QIK.png,QIK;PKA
Q9Y2K2,PK,CAMK,CAMKL,QIK,QSK (SIK3),PK_CAMK_CAMKL_QIK_QSK.png,QSK;PKA
P57059,PK,CAMK,CAMKL,QIK,SIK (SIK1),PK_CAMK_CAMKL_QIK_SIK.png,SIK;PKA
,PK,CAMK,CAMKL,SNRK,,PK_CAMK_CAMKL_SNRK.png,PKA;SNRK
Q9NRH2,PK,CAMK,CAMKL,SNRK,SNRK,PK_CAMK_CAMKL_SNRK_SNRK.png,SNRK;PKA
,PK,CAMK,CASK,,,PK_CAMK_CASK.png,PKA;CASK
O14936,PK,CAMK,CASK,,CASK,PK_CAMK_CASK__CASK.png,CASK;PKA
,PK,CAMK,DAPK,,,PK_CAMK_DAPK.png,PKA;DAPK1;DAPK2;DAPK3;DRAK1;DRAK2
P53355,PK,CAMK,DAPK,,DAPK1,PK_CAMK_DAPK__DAPK1.png,DAPK1;PKA
Q9UIK4,PK,CAMK,DAPK,,DAPK2,PK_CAMK_DAPK__DAPK2.png,DAPK2;PKA
O43293,PK,CAMK,DAPK,,DAPK3,PK_CAMK_DAPK__DAPK3.png,DAPK3;PKA
Q9UEE5,PK,CAMK,DAPK,,DRAK1 (STK17A),PK_CAMK_DAPK__DRAK1.png,DRAK1;PKA
O94768,PK,CAMK,DAPK,,DRAK2 (STK17B),PK_CAMK_DAPK__DRAK2.png,DRAK2;PKA
,PK,CAMK,DCAMKL,,,PK_CAMK_DCAMKL.png,PKA;DCAMKL1;DCAMKL2;DCAMKL3
O15075,PK,CAMK,DCAMKL,,DCAMKL1 (DCLK1),PK_CAMK_DCAMKL__DCAMKL1.png,DCAMKL1;PKA
Q8N568,PK,CAMK,DCAMKL,,DCAMKL2 (DCLK2),PK_CAMK_DCAMKL__DCAMKL2.png,DCAMKL2;PKA
Q9C098,PK,CAMK,DCAMKL,,DCAMKL3 (DCLK3),PK_CAMK_DCAMKL__DCAMKL3.png,DCAMKL3;PKA
,PK,CAMK,MAPKAPK,,,PK_CAMK_MAPKAPK.png,PKA;MAPKAPK2;MAPKAPK3;MAPKAPK5;MNK1;MNK2
,PK,CAMK,MAPKAPK,MK2,,PK_CAMK_MAPKAPK_MK2.png,PKA;MAPKAPK2;MAPKAPK3
P49137,PK,CAMK,MAPKAPK,MK2,MAPKAPK2,PK_CAMK_MAPKAPK_MK2_MAPKAPK2.png,MAPKAPK2;PKA
Q16644,PK,CAMK,MAPKAPK,MK2,MAPKAPK3,PK_CAMK_MAPKAPK_MK2_MAPKAPK3.png,MAPKAPK3;PKA
,PK,CAMK,MAPKAPK,MK5,,PK_CAMK_MAPKAPK_MK5.png,PKA;MAPKAPK5
Q8IW41,PK,CAMK,MAPKAPK,MK5,MAPKAPK5,PK_CAMK_MAPKAPK_MK5_MAPKAPK5.png,MAPKAPK5;PKA
,PK,CAMK,MAPKAPK,MNK,,PK_CAMK_MAPKAPK_MNK.png,PKA;MNK1;MNK2
Q9BUB5,PK,CAMK,MAPKAPK,MNK,MNK1 (MKNK1),PK_CAMK_MAPKAPK_MNK_MNK1.png,MNK1;PKA
Q9HBH9,PK,CAMK,MAPKAPK,MNK,MNK2 (MKNK2),PK_CAMK_MAPKAPK_MNK_MNK2.png,MNK2;PKA
,PK,CAMK,MLCK,,,PK_CAMK_MLCK.png,PKA;SgK085;TTN;caMLCK;skMLCK;smMLCK
Q86YV6,PK,CAMK,MLCK,,SgK085 (MYLK4),PK_CAMK_MLCK__SgK085.png,SgK085;PKA
Q8WZ42,PK,CAMK,MLCK,,TTN,PK_CAMK_MLCK__TTN.png,TTN;PKA
Q32MK0,PK,CAMK,MLCK,,caMLCK (MYLK3),PK_CAMK_MLCK__caMLCK.png,caMLCK;PKA
Q9H1R3,PK,CAMK,MLCK,,skMLCK (MYLK2),PK_CAMK_MLCK__skMLCK.png,skMLCK;PKA
Q15746,PK,CAMK,MLCK,,smMLCK (MYLK),PK_CAMK_MLCK__smMLCK.png,smMLCK;PKA
,PK,CAMK,PHK,,,PK_CAMK_PHK.png,PKA;PHKg1;PHKg2
Q16816,PK,CAMK,PHK,,PHKg1 (PHKG1),PK_CAMK_PHK__PHKg1.png,PHKg1;PKA
P15735,PK,CAMK,PHK,,PHKg2 (PHKG2),PK_CAMK_PHK__PHKg2.png,PHKg2;PKA
,PK,CAMK,PIM,,,PK_CAMK_PIM.png,PKA;PIM1;PIM2;PIM3
P11309,PK,CAMK,PIM,,PIM1,PK_CAMK_PIM__PIM1.png,PIM1;PKA
Q9P1W9,PK,CAMK,PIM,,PIM2,PK_CAMK_PIM__PIM2.png,PIM2;PKA
Q86V86,PK,CAMK,PIM,,PIM3,PK_CAMK_PIM__PIM3.png,PIM3;PKA
